,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1
0,0.10923314094543457,0.0009167697170938652,0.017351579666137696,0.00033998259989003393,gini,5,2,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.6098562628336756,0.604040404040404,0.6132478632478633,0.6099585062240664,0.6162046908315565,0.610657780280955,0.004059666215068904,101,0.945859872611465,0.9522292993630573,0.9140127388535032,0.939297124600639,0.9233226837060703,0.9349499983421917,0.014219933250040565,21,0.7415730337078652,0.7391841779975278,0.7340153452685423,0.739622641509434,0.7391304347826086,0.7387040820612192,0.0025106226692191737,22
1,0.2152501106262207,0.006783397976134682,0.031017875671386717,0.0006186116644065306,gini,5,2,100,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.6108786610878661,0.6052104208416834,0.6177685950413223,0.6119096509240246,0.6056034482758621,0.610276516347546,0.0046202700382725346,108,0.9299363057324841,0.9617834394904459,0.9522292993630573,0.952076677316294,0.8977635782747604,0.9387793889848286,0.0229969081668321,16,0.7373737373737375,0.7429274292742928,0.7493734335839599,0.7449999999999999,0.7232947232947233,0.7396023384557245,0.009011715758176029,17
2,0.421749210357666,0.0036123915040027206,0.05767402648925781,0.0008208542285700454,gini,5,2,200,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.609504132231405,0.6044624746450304,0.614406779661017,0.6078028747433265,0.6130434782608696,0.6098430467358773,0.003587259342624271,112,0.9394904458598726,0.9490445859872612,0.9235668789808917,0.9456869009584664,0.9009584664536742,0.9317625661450258,0.017699335801743366,24,0.7393483709273184,0.738537794299876,0.7379134860050892,0.74,0.7296248382923674,0.7370884334611475,0.003792983988846731,24
3,0.10700092315673829,0.0013789842531352914,0.01718459129333496,0.00015021797899510418,gini,5,3,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 50}",0.6111111111111112,0.602020202020202,0.6123711340206186,0.6069246435845214,0.6137339055793991,0.609230492417089,0.00426680929229296,118,0.945859872611465,0.9490445859872612,0.945859872611465,0.952076677316294,0.9137380191693291,0.9413288875419576,0.013967626988493438,11,0.7425,0.7367119901112485,0.7434292866082604,0.7412935323383085,0.7342747111681643,0.7396447944104892,0.003538552165204877,16
4,0.21199674606323243,0.00266445015363105,0.03114771842956543,0.00020084429783413427,gini,5,3,100,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 100}",0.6120331950207469,0.6016427104722792,0.6123711340206186,0.6090534979423868,0.6148936170212767,0.609995758586498,0.004571861253448947,109,0.9394904458598726,0.9331210191082803,0.945859872611465,0.9456869009584664,0.9233226837060703,0.9375008385011323,0.008491945605652319,18,0.7412060301507538,0.731585518102372,0.7434292866082604,0.7409261576971214,0.7381864623243934,0.739065929220012,0.0040969087398139755,19
5,0.4232160568237305,0.002756799418311222,0.05768485069274902,0.00019776952057877045,gini,5,3,200,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'n_estimators': 200}",0.6069246435845214,0.6,0.6137787056367432,0.6153846153846154,0.6122881355932204,0.6096687460523458,0.005613021705036551,114,0.9490445859872612,0.945859872611465,0.9363057324840764,0.9456869009584664,0.9233226837060703,0.9400525730612799,0.009377926497820651,13,0.7403726708074533,0.7342398022249691,0.7414880201765447,0.7455919395465995,0.7363057324840764,0.7395975339379055,0.003989760135107093,18
6,0.10758419036865234,0.0012533847101098726,0.017530298233032225,0.00017198655006707997,gini,5,5,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.6145833333333334,0.6024340770791075,0.6148936170212767,0.6086956521739131,0.6189473684210526,0.6119078369092112,0.005757140631948156,91,0.9394904458598726,0.945859872611465,0.9203821656050956,0.939297124600639,0.939297124600639,0.9368615632592837,0.00862376498291142,19,0.743073047858942,0.7360594795539033,0.7372448979591838,0.7386934673366835,0.7461928934010151,0.7402493493290682,0.0038017671272444304,13
7,0.2136293888092041,0.004054315273420724,0.03129811286926269,0.00016338735988222398,gini,5,5,100,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.6090534979423868,0.607645875251509,0.6141078838174274,0.6131687242798354,0.6162280701754386,0.6120366755800805,0.003203879789298686,90,0.9426751592356688,0.9617834394904459,0.9426751592356688,0.952076677316294,0.8977635782747604,0.9394173226248655,0.021968851057598552,14,0.74,0.7447595561035759,0.7437185929648241,0.7459324155193993,0.730819245773732,0.7410501163024513,0.005481337687822616,10
8,0.42113461494445803,0.0020128595626101135,0.05817732810974121,0.0014117931759961451,gini,5,5,200,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.6066252587991718,0.6028225806451613,0.6176470588235294,0.6073619631901841,0.6170678336980306,0.6103019674879826,0.005964819396591223,107,0.9331210191082803,0.9522292993630573,0.9363057324840764,0.9488817891373802,0.9009584664536742,0.9343138535045699,0.01815806292065791,23,0.7352572145545796,0.7382716049382716,0.7443037974683544,0.7406483790523691,0.7324675324675326,0.7381922443970169,0.004117223991889877,23
9,0.10837340354919434,0.0011450296845670939,0.01749763488769531,0.00023534754800946472,gini,5,7,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 7, 'n_estimators': 50}",0.6181434599156118,0.6056910569105691,0.6075156576200418,0.6082474226804123,0.6126315789473684,0.6104458450699558,0.004476071220034956,105,0.9331210191082803,0.9490445859872612,0.9267515923566879,0.9424920127795527,0.9297124600638977,0.9362245240204544,0.008314207395068633,20,0.7436548223350253,0.739454094292804,0.7339218158890289,0.7393483709273182,0.7385786802030456,0.7389916003407463,0.0030994677410955784,20
